series,seed,ok,keep,source,moves,level,lower_bound,ratio,seconds,id,generator,created_by,path
100,468,1,1,kociemba,24,3,18,1.33,0.014,20260913-001905-3f96,random_walk@1,beadmatch,puzzles\3\20260913-001905-3f96.txt
100,469,0,0,-,,,18,,5.248,,random_walk@1,beadmatch,
100,470,1,1,kociemba,22,3,18,1.22,0.016,20260913-001910-f6cc,random_walk@1,beadmatch,puzzles\3\20260913-001910-f6cc.txt
100,471,1,1,kociemba,21,3,21,1.0,0.023,20260913-001910-d372,random_walk@1,beadmatch,puzzles\3\20260913-001910-d372.txt
100,472,1,1,kociemba,26,3,20,1.3,0.005,20260913-001910-b792,random_walk@1,beadmatch,puzzles\3\20260913-001910-b792.txt
100,473,1,1,kociemba,30,3,19,1.58,0.015,20260913-001910-0f28,random_walk@1,beadmatch,puzzles\3\20260913-001910-0f28.txt
100,474,1,1,kociemba,28,3,21,1.33,0.007,20260913-001910-18be,random_walk@1,beadmatch,puzzles\3\20260913-001910-18be.txt
100,475,1,0,dfs,168,,16,10.5,0.05,,random_walk@1,beadmatch,
100,476,1,1,kociemba,27,3,21,1.29,0.008,20260913-001910-4def,random_walk@1,beadmatch,puzzles\3\20260913-001910-4def.txt
100,477,0,0,-,,,25,,5.451,,random_walk@1,beadmatch,
100,478,1,1,kociemba,37,4,20,1.85,0.015,20260913-001916-a308,random_walk@1,beadmatch,puzzles\4\20260913-001916-a308.txt
100,479,1,1,kociemba,34,4,21,1.62,0.015,20260913-001916-433f,random_walk@1,beadmatch,puzzles\4\20260913-001916-433f.txt
100,480,1,1,kociemba,21,3,17,1.24,0.006,20260913-001916-52fd,random_walk@1,beadmatch,puzzles\3\20260913-001916-52fd.txt
100,481,1,1,kociemba,23,3,21,1.1,0.009,20260913-001916-9abb,random_walk@1,beadmatch,puzzles\3\20260913-001916-9abb.txt
100,482,1,1,kociemba,17,2,14,1.21,0.01,20260913-001916-9e84,random_walk@1,beadmatch,puzzles\2\20260913-001916-9e84.txt
100,483,1,1,kociemba,32,4,23,1.39,0.041,20260913-001916-5ae6,random_walk@1,beadmatch,puzzles\4\20260913-001916-5ae6.txt
100,484,1,0,dfs,116,,15,7.73,0.03,,random_walk@1,beadmatch,
100,485,0,0,-,,,22,,5.246,,random_walk@1,beadmatch,
100,486,0,0,-,,,25,,5.189,,random_walk@1,beadmatch,
100,487,1,1,kociemba,28,3,15,1.87,0.007,20260913-001926-0b9b,random_walk@1,beadmatch,puzzles\3\20260913-001926-0b9b.txt
100,488,0,0,-,,,20,,5.063,,random_walk@1,beadmatch,
100,489,0,0,-,,,25,,5.172,,random_walk@1,beadmatch,
100,490,1,1,kociemba,30,3,23,1.3,0.014,20260913-001937-612e,random_walk@1,beadmatch,puzzles\3\20260913-001937-612e.txt
100,491,1,1,kociemba,19,2,15,1.27,0.012,20260913-001937-54e1,random_walk@1,beadmatch,puzzles\2\20260913-001937-54e1.txt
100,492,1,1,kociemba,36,4,22,1.64,0.032,20260913-001937-0840,random_walk@1,beadmatch,puzzles\4\20260913-001937-0840.txt
100,493,0,0,-,,,21,,5.132,,random_walk@1,beadmatch,
100,494,1,1,kociemba,28,3,19,1.47,0.002,20260913-001942-7506,random_walk@1,beadmatch,puzzles\3\20260913-001942-7506.txt
100,495,1,1,kociemba,33,4,19,1.74,0.01,20260913-001942-2215,random_walk@1,beadmatch,puzzles\4\20260913-001942-2215.txt
100,496,1,1,kociemba,25,3,20,1.25,0.027,20260913-001942-61dd,random_walk@1,beadmatch,puzzles\3\20260913-001942-61dd.txt
100,497,0,0,-,,,22,,5.132,,random_walk@1,beadmatch,
100,498,1,1,kociemba,36,4,20,1.8,0.044,20260913-001947-5837,random_walk@1,beadmatch,puzzles\4\20260913-001947-5837.txt
100,499,0,0,-,,,20,,5.31,,random_walk@1,beadmatch,
100,500,1,1,kociemba,29,3,19,1.53,0.02,20260913-001952-1ac7,random_walk@1,beadmatch,puzzles\3\20260913-001952-1ac7.txt
200,1,1,1,kociemba,31,4,22,1.41,0.014,20260913-001952-e75f,random_walk@1,beadmatch,puzzles\4\20260913-001952-e75f.txt
200,2,1,0,dfs,199,,17,11.71,2.844,,random_walk@1,beadmatch,
200,3,0,0,-,,,26,,5.043,,random_walk@1,beadmatch,
200,4,0,0,-,,,21,,5.278,,random_walk@1,beadmatch,
200,5,0,0,-,,,24,,5.193,,random_walk@1,beadmatch,
200,6,1,1,kociemba,42,5,22,1.91,0.023,20260913-002011-d1b3,random_walk@1,beadmatch,puzzles\5\20260913-002011-d1b3.txt
200,7,0,0,-,,,27,,5.197,,random_walk@1,beadmatch,
200,8,1,1,kociemba,44,5,25,1.76,0.028,20260913-002016-8730,random_walk@1,beadmatch,puzzles\5\20260913-002016-8730.txt
200,9,0,0,-,,,23,,5.466,,random_walk@1,beadmatch,
200,10,0,0,-,,,19,,5.279,,random_walk@1,beadmatch,
200,11,1,1,kociemba,36,4,22,1.64,0.011,20260913-002027-4d6b,random_walk@1,beadmatch,puzzles\4\20260913-002027-4d6b.txt
200,12,1,1,kociemba,36,4,19,1.89,0.007,20260913-002027-ee22,random_walk@1,beadmatch,puzzles\4\20260913-002027-ee22.txt
200,13,1,1,kociemba,31,4,24,1.29,0.041,20260913-002027-7a7c,random_walk@1,beadmatch,puzzles\4\20260913-002027-7a7c.txt
200,14,0,0,-,,,24,,5.235,,random_walk@1,beadmatch,
200,15,0,0,-,,,21,,5.098,,random_walk@1,beadmatch,
200,16,0,0,-,,,30,,5.37,,random_walk@1,beadmatch,
200,17,1,1,kociemba,43,5,25,1.72,0.03,20260913-002042-539e,random_walk@1,beadmatch,puzzles\5\20260913-002042-539e.txt
200,18,0,0,-,,,20,,5.569,,random_walk@1,beadmatch,
200,19,1,0,kociemba,37,,18,2.06,0.013,,random_walk@1,beadmatch,
200,20,0,0,-,,,26,,5.151,,random_walk@1,beadmatch,
200,21,0,0,-,,,29,,5.32,,random_walk@1,beadmatch,
200,22,1,1,kociemba,44,5,25,1.76,0.013,20260913-002058-21cb,random_walk@1,beadmatch,puzzles\5\20260913-002058-21cb.txt
200,23,0,0,-,,,24,,5.421,,random_walk@1,beadmatch,
200,24,1,1,kociemba,37,4,20,1.85,0.026,20260913-002104-c650,random_walk@1,beadmatch,puzzles\4\20260913-002104-c650.txt
200,25,1,0,kociemba,51,,24,2.12,0.018,,random_walk@1,beadmatch,
200,26,0,0,-,,,24,,5.494,,random_walk@1,beadmatch,
200,27,1,1,kociemba,42,5,23,1.83,0.035,20260913-002109-7f2f,random_walk@1,beadmatch,puzzles\5\20260913-002109-7f2f.txt
200,28,1,1,kociemba,27,3,22,1.23,0.029,20260913-002110-e2bf,random_walk@1,beadmatch,puzzles\3\20260913-002110-e2bf.txt
200,29,0,0,-,,,25,,5.125,,random_walk@1,beadmatch,
200,30,0,0,-,,,27,,5.232,,random_walk@1,beadmatch,
200,31,1,1,kociemba,44,5,24,1.83,0.068,20260913-002120-fb45,random_walk@1,beadmatch,puzzles\5\20260913-002120-fb45.txt
200,32,0,0,-,,,24,,5.501,,random_walk@1,beadmatch,
200,33,1,1,kociemba,38,4,24,1.58,0.01,20260913-002125-669f,random_walk@1,beadmatch,puzzles\4\20260913-002125-669f.txt
200,34,0,0,-,,,25,,5.621,,random_walk@1,beadmatch,
200,35,1,1,kociemba,40,4,27,1.48,0.007,20260913-002131-d0da,random_walk@1,beadmatch,puzzles\4\20260913-002131-d0da.txt
200,36,0,0,-,,,26,,5.503,,random_walk@1,beadmatch,
200,37,0,0,-,,,28,,5.059,,random_walk@1,beadmatch,
200,38,1,0,kociemba,40,,18,2.22,0.011,,random_walk@1,beadmatch,
200,39,0,0,-,,,24,,5.447,,random_walk@1,beadmatch,
200,40,1,1,kociemba,38,4,22,1.73,0.012,20260913-002147-ec3f,random_walk@1,beadmatch,puzzles\4\20260913-002147-ec3f.txt
200,41,0,0,-,,,30,,5.179,,random_walk@1,beadmatch,
200,42,1,1,kociemba,23,3,20,1.15,0.012,20260913-002152-875d,random_walk@1,beadmatch,puzzles\3\20260913-002152-875d.txt
200,43,0,0,-,,,23,,5.129,,random_walk@1,beadmatch,
200,44,1,1,kociemba,28,3,23,1.22,0.009,20260913-002157-17e0,random_walk@1,beadmatch,puzzles\3\20260913-002157-17e0.txt
200,45,1,1,kociemba,27,3,19,1.42,0.007,20260913-002157-9977,random_walk@1,beadmatch,puzzles\3\20260913-002157-9977.txt
200,46,0,0,-,,,24,,5.422,,random_walk@1,beadmatch,
200,47,1,1,kociemba,28,3,23,1.22,0.018,20260913-002203-58cc,random_walk@1,beadmatch,puzzles\3\20260913-002203-58cc.txt
200,48,1,1,kociemba,38,4,26,1.46,0.009,20260913-002203-a8cd,random_walk@1,beadmatch,puzzles\4\20260913-002203-a8cd.txt
200,49,1,1,kociemba,29,3,23,1.26,0.045,20260913-002203-159f,random_walk@1,beadmatch,puzzles\3\20260913-002203-159f.txt
200,50,1,1,kociemba,37,4,24,1.54,0.006,20260913-002203-5f29,random_walk@1,beadmatch,puzzles\4\20260913-002203-5f29.txt
200,51,0,0,-,,,20,,5.068,,random_walk@1,beadmatch,
200,52,0,0,-,,,26,,5.412,,random_walk@1,beadmatch,
200,53,0,0,-,,,26,,5.152,,random_walk@1,beadmatch,
200,54,1,1,kociemba,34,4,24,1.42,0.004,20260913-002219-7c73,random_walk@1,beadmatch,puzzles\4\20260913-002219-7c73.txt
200,55,0,0,-,,,24,,5.093,,random_walk@1,beadmatch,
200,56,1,1,kociemba,21,3,20,1.05,0.005,20260913-002224-6f37,random_walk@1,beadmatch,puzzles\3\20260913-002224-6f37.txt
200,57,0,0,-,,,24,,5.349,,random_walk@1,beadmatch,
200,58,0,0,-,,,22,,5.486,,random_walk@1,beadmatch,
